from_polity_id,from_name,to_polity_id,to_name,territorial_direction,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_civilization,temporal_gap_years
spanish_florida,Spanish Florida,argentina,Argentine Republic,unknown,4,,0,0,0,1,0,0,-5
spanish_florida,Spanish Florida,chile,Republic of Chile,unknown,4,,0,0,0,1,0,0,-3
spanish_florida,Spanish Florida,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,-2
spanish_florida,Spanish Florida,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,0
spanish_florida,Spanish Florida,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,0
spanish_florida,Spanish Florida,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,3
spanish_florida,Spanish Florida,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,4
spanish_florida,Spanish Florida,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,7
spanish_florida,Spanish Florida,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,9
spanish_florida,Spanish Florida,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,9
spanish_florida,Spanish Florida,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,10
new_spain,Viceroyalty of New Spain,paraguay,Republic of Paraguay,unknown,4,,0,0,0,1,0,0,-10
new_spain,Viceroyalty of New Spain,argentina,Argentine Republic,unknown,4,,0,0,0,1,0,0,-5
new_spain,Viceroyalty of New Spain,chile,Republic of Chile,unknown,4,,0,0,0,1,0,0,-3
new_spain,Viceroyalty of New Spain,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,-2
new_spain,Viceroyalty of New Spain,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,0
new_spain,Viceroyalty of New Spain,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,0
new_spain,Viceroyalty of New Spain,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,3
new_spain,Viceroyalty of New Spain,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,4
new_spain,Viceroyalty of New Spain,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,7
new_spain,Viceroyalty of New Spain,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,9
new_spain,Viceroyalty of New Spain,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,9
new_spain,Viceroyalty of New Spain,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,10
viceroyalty_of_peru,Viceroyalty of Peru,argentina,Argentine Republic,unknown,4,,0,0,0,1,0,0,-8
viceroyalty_of_peru,Viceroyalty of Peru,chile,Republic of Chile,unknown,4,,0,0,0,1,0,0,-6
viceroyalty_of_peru,Viceroyalty of Peru,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,-5
viceroyalty_of_peru,Viceroyalty of Peru,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,-3
viceroyalty_of_peru,Viceroyalty of Peru,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,-3
viceroyalty_of_peru,Viceroyalty of Peru,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,0
viceroyalty_of_peru,Viceroyalty of Peru,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,1
viceroyalty_of_peru,Viceroyalty of Peru,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,4
viceroyalty_of_peru,Viceroyalty of Peru,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,6
viceroyalty_of_peru,Viceroyalty of Peru,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,6
viceroyalty_of_peru,Viceroyalty of Peru,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,7
viceroyalty_of_new_granada,Viceroyalty of New Granada,paraguay,Republic of Paraguay,unknown,4,,0,0,0,1,0,0,-8
viceroyalty_of_new_granada,Viceroyalty of New Granada,argentina,Argentine Republic,unknown,4,,0,0,0,1,0,0,-3
viceroyalty_of_new_granada,Viceroyalty of New Granada,chile,Republic of Chile,unknown,4,,0,0,0,1,0,0,-1
viceroyalty_of_new_granada,Viceroyalty of New Granada,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,0
viceroyalty_of_new_granada,Viceroyalty of New Granada,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,2
viceroyalty_of_new_granada,Viceroyalty of New Granada,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,2
viceroyalty_of_new_granada,Viceroyalty of New Granada,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,5
viceroyalty_of_new_granada,Viceroyalty of New Granada,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,6
viceroyalty_of_new_granada,Viceroyalty of New Granada,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,9
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,paraguay,Republic of Paraguay,unknown,4,,0,0,0,1,0,0,-5
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,argentina,Argentine Republic,unknown,4,,0,0,0,1,0,0,0
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,chile,Republic of Chile,unknown,4,,0,0,0,1,0,0,2
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,3
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,5
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,5
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,8
viceroyalty_of_rio_de_la_plata,Viceroyalty of Río de la Plata,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,9
paraguay,Republic of Paraguay,argentina,Argentine Republic,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,chile,Republic of Chile,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
paraguay,Republic of Paraguay,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,chile,Republic of Chile,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
argentina,Argentine Republic,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,gran_colombia,Gran Colombia,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
chile,Republic of Chile,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
gran_colombia,Gran Colombia,first_mexican_empire,First Mexican Empire,unknown,4,,0,0,0,1,0,0,-10
gran_colombia,Gran Colombia,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,-10
gran_colombia,Gran Colombia,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,-7
gran_colombia,Gran Colombia,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,-6
gran_colombia,Gran Colombia,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,-3
gran_colombia,Gran Colombia,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,-1
gran_colombia,Gran Colombia,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,-1
gran_colombia,Gran Colombia,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
first_mexican_empire,First Mexican Empire,mexico,Mexico (United Mexican States),unknown,4,,0,0,0,1,0,0,-2
first_mexican_empire,First Mexican Empire,peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,1
first_mexican_empire,First Mexican Empire,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,2
first_mexican_empire,First Mexican Empire,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,5
first_mexican_empire,First Mexican Empire,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,7
first_mexican_empire,First Mexican Empire,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,7
first_mexican_empire,First Mexican Empire,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,8
mexico,Mexico (United Mexican States),peru,Republic of Peru,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
mexico,Mexico (United Mexican States),cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,bolivia,Republic of Bolivia,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
peru,Republic of Peru,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
bolivia,Republic of Bolivia,uruguay,Oriental Republic of Uruguay,unknown,4,,0,0,0,1,0,0,0
bolivia,Republic of Bolivia,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,0
bolivia,Republic of Bolivia,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
bolivia,Republic of Bolivia,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
bolivia,Republic of Bolivia,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
bolivia,Republic of Bolivia,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
bolivia,Republic of Bolivia,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
uruguay,Oriental Republic of Uruguay,ecuador,Republic of Ecuador,unknown,4,,0,0,0,1,0,0,0
uruguay,Oriental Republic of Uruguay,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
uruguay,Oriental Republic of Uruguay,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
uruguay,Oriental Republic of Uruguay,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
uruguay,Oriental Republic of Uruguay,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
uruguay,Oriental Republic of Uruguay,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
ecuador,Republic of Ecuador,venezuela,Republic of Venezuela,unknown,4,,0,0,0,1,0,0,0
ecuador,Republic of Ecuador,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
ecuador,Republic of Ecuador,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
ecuador,Republic of Ecuador,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
ecuador,Republic of Ecuador,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
venezuela,Republic of Venezuela,colombia,Republic of Colombia,unknown,4,,0,0,0,1,0,0,0
venezuela,Republic of Venezuela,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
venezuela,Republic of Venezuela,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
venezuela,Republic of Venezuela,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
colombia,Republic of Colombia,dominican_republic,Dominican Republic,unknown,4,,0,0,0,1,0,0,0
colombia,Republic of Colombia,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
colombia,Republic of Colombia,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
dominican_republic,Dominican Republic,second_mexican_empire,Second Mexican Empire,unknown,4,,0,0,0,1,0,0,0
dominican_republic,Dominican Republic,cuba,Republic of Cuba,unknown,4,,0,0,0,1,0,0,0
portuguese_brazil,Portuguese Brazil,empire_of_brazil,Empire of Brazil,unknown,4,,0,0,0,1,0,0,0
empire_of_brazil,Empire of Brazil,republic_of_brazil,Federative Republic of Brazil,unknown,4,,0,0,0,1,0,0,0
jamestown_colony,Jamestown Colony,plymouth_colony,Plymouth Colony,unknown,4,,0,0,0,1,0,0,-4
jamestown_colony,Jamestown Colony,british_caribbean,British Caribbean,unknown,4,,0,0,0,1,0,0,0
thirteen_colonies,Thirteen Colonies,united_states,United States of America,unknown,4,,0,0,0,1,0,0,0
rupert_land,Rupert's Land (Hudson's Bay Company),confederate_states,Confederate States of America,unknown,4,,0,0,0,1,0,0,-9
rupert_land,Rupert's Land (Hudson's Bay Company),dominion_of_canada,Dominion of Canada,unknown,4,,0,0,0,1,0,0,-3
united_states,United States of America,united_kingdom,United Kingdom of Great Britain and Ireland,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,texas_republic,Republic of Texas,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,california_republic,California Republic,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,british_raj,British Raj,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,confederate_states,Confederate States of America,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,dominion_of_canada,Dominion of Canada,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,hawaii_republic,Republic of Hawaiʻi,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,british_military_administration,British Military Administration,unknown,4,,0,0,0,1,0,0,0
united_states,United States of America,canada,Canada,unknown,4,,0,0,0,1,0,0,0
united_kingdom,United Kingdom of Great Britain and Ireland,texas_republic,Republic of Texas,unknown,4,,0,0,0,1,0,0,0
united_kingdom,United Kingdom of Great Britain and Ireland,california_republic,California Republic,unknown,4,,0,0,0,1,0,0,0
united_kingdom,United Kingdom of Great Britain and Ireland,confederate_states,Confederate States of America,unknown,4,,0,0,0,1,0,0,0
united_kingdom,United Kingdom of Great Britain and Ireland,dominion_of_canada,Dominion of Canada,unknown,4,,0,0,0,1,0,0,0
united_kingdom,United Kingdom of Great Britain and Ireland,hawaii_republic,Republic of Hawaiʻi,unknown,4,,0,0,0,1,0,0,0
united_kingdom,United Kingdom of Great Britain and Ireland,british_military_administration,British Military Administration,unknown,4,,0,0,0,1,0,0,0
united_kingdom,United Kingdom of Great Britain and Ireland,canada,Canada,unknown,4,,0,0,0,1,0,0,0
texas_republic,Republic of Texas,california_republic,California Republic,unknown,4,,0,0,0,1,0,0,0
british_raj,British Raj,british_military_administration,British Military Administration,unknown,4,,0,0,0,1,0,0,-4
confederate_states,Confederate States of America,dominion_of_canada,Dominion of Canada,unknown,4,,0,0,0,1,0,0,2
dominion_of_canada,Dominion of Canada,canada,Canada,unknown,4,,0,0,0,1,0,0,0
kingdom_of_naples,Kingdom of Naples,kingdom_of_the_two_sicilies,Kingdom of the Two Sicilies,unknown,4,,0,0,0,1,0,0,0
carolingian_empire,Frankish Kingdom / Carolingian Empire,kingdom_of_france,Kingdom of France,contraction,3,aquitaine|gaul,2,0,0,0,1,0,144
ottoman_empire,Ottoman Empire,saudi_arabia,Kingdom of Saudi Arabia,contraction,3,arabia,1,0,0,0,0,0,10
sassanid_empire,Sassanid Empire,khazar_khaganate,Khazar Khaganate,contraction,3,caucasus,1,0,0,0,0,0,-1
ottoman_empire,Ottoman Empire,soviet_union,Soviet Union,contraction,3,caucasus,1,0,0,0,0,0,0
maurya_empire,Maurya Empire,satavahana_empire,Satavahana Empire,contraction,3,deccan,1,0,0,0,1,0,-45
mughal_empire,Mughal Empire,republic_of_india,Republic of India,contraction,3,deccan|ganges_plain|punjab,3,0,0,0,0,0,90
achaemenid_empire,Achaemenid Empire,ptolemaic_egypt,Ptolemaic Kingdom,contraction,3,egypt|levant,2,0,0,0,0,0,25
roman_empire,Roman Empire,carolingian_empire,Frankish Kingdom / Carolingian Empire,contraction,3,gaul,1,0,0,1,0,0,91
maurya_empire,Maurya Empire,indo_scythian_kingdom,Indo-Scythian Kingdom,contraction,3,indus_valley|punjab,2,0,0,0,0,0,-15
durrani_empire,Durrani Empire,pakistan,Pakistan,contraction,3,indus_valley|punjab,2,0,0,0,1,0,121
macedonian_empire,Macedonian Empire (Alexander),parthian_empire,Parthian Empire (Arsacid),contraction,3,iran_plateau|khorasan|mesopotamia,3,0,0,0,0,0,76
umayyad_caliphate,Umayyad Caliphate,saffarid_dynasty,Saffarid Dynasty,contraction,3,iran_plateau|khorasan,2,0,0,0,1,0,111
abbasid_caliphate,Abbasid Caliphate,seljuk_empire,Seljuk Empire,contraction,3,iran_plateau|mesopotamia,2,0,0,0,1,0,-221
mongol_empire,Mongol Empire,safavid_empire,Safavid Empire,contraction,3,iran_plateau|khorasan|mesopotamia,3,0,0,0,0,0,133
ilkhanate,Ilkhanate,kara_koyunlu,Kara Koyunlu (Black Sheep Turkmen),contraction,3,iran_plateau|mesopotamia,2,0,0,0,0,0,39
ilkhanate,Ilkhanate,aq_qoyunlu,Aq Qoyunlu (White Sheep Turkmen),contraction,3,iran_plateau|mesopotamia,2,0,0,0,0,0,43
safavid_empire,Safavid Empire,hotak_dynasty,Hotak Dynasty,contraction,3,iran_plateau|khorasan,2,0,0,0,0,0,-27
roman_empire,Roman Empire,odoacer_kingdom,Kingdom of Odoacer,contraction,3,italy,1,0,0,1,0,0,81
roman_empire,Roman Empire,ostrogothic_kingdom,Ostrogothic Kingdom of Italy,contraction,3,italy,1,0,0,1,0,0,98
umayyad_caliphate,Umayyad Caliphate,samanid_empire,Samanid Empire,contraction,3,khorasan|transoxiana,2,0,0,0,1,0,69
kievan_rus,Kievan Rus,grand_duchy_moscow,Grand Duchy of Moscow,contraction,3,kievan_rus,1,0,0,0,1,0,43
russian_empire,Russian Empire,russian_federation,Russian Federation,contraction,3,kievan_rus,1,0,0,1,0,0,74
empire_of_japan,Empire of Japan (Meiji),south_korea,Republic of Korea (South Korea),contraction,3,korean_peninsula,1,0,0,0,0,0,1
empire_of_japan,Empire of Japan (Meiji),north_korea,Democratic People's Republic of Korea (North Korea),contraction,3,korean_peninsula,1,0,0,0,0,0,1
abbasid_caliphate,Abbasid Caliphate,ayyubid_sultanate,Ayyubid Sultanate,contraction,3,levant,1,0,0,1,0,0,-87
akkadian_empire,Akkadian Empire,ur_iii,Third Dynasty of Ur (Neo-Sumerian),contraction,3,mesopotamia,1,0,0,0,1,0,42
ottoman_empire,Ottoman Empire,kingdom_of_iraq,Kingdom of Iraq,contraction,3,mesopotamia,1,0,0,0,0,0,-1
abbasid_caliphate,Abbasid Caliphate,rustamid_dynasty,Rustamid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,-482
abbasid_caliphate,Abbasid Caliphate,idrisid_dynasty,Idrisid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,-470
abbasid_caliphate,Abbasid Caliphate,aghlabid_dynasty,Aghlabid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,-458
abbasid_caliphate,Abbasid Caliphate,zirid_dynasty,Zirid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,-286
abbasid_caliphate,Abbasid Caliphate,almoravid_dynasty,Almoravid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,-218
fatimid_caliphate,Fatimid Caliphate,zirid_dynasty,Zirid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,-199
fatimid_caliphate,Fatimid Caliphate,almoravid_dynasty,Almoravid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,-131
fatimid_caliphate,Fatimid Caliphate,hafsid_dynasty,Hafsid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,58
fatimid_caliphate,Fatimid Caliphate,marinid_dynasty,Marinid Dynasty,contraction,3,north_africa,1,0,0,1,0,0,73
seljuk_empire,Seljuk Empire,chagatai_khanate,Chagatai Khanate,contraction,3,transoxiana,1,0,0,0,1,0,32
sassanid_empire,Sassanid Empire,samanid_empire,Samanid Empire,contraction,3,,0,1,0,0,0,0,168
sassanid_empire,Sassanid Empire,saffarid_dynasty,Saffarid Dynasty,contraction,3,,0,1,0,0,0,0,210
sassanid_empire,Sassanid Empire,buyid_dynasty,Buyid Dynasty,contraction,3,,0,1,0,0,0,0,283
safavid_empire,Safavid Empire,pahlavi_dynasty,Pahlavi Dynasty,contraction,3,,0,1,0,0,0,0,189
safavid_empire,Safavid Empire,islamic_republic_iran,Islamic Republic of Iran,contraction,3,,0,1,0,0,0,0,243
ming_dynasty,Ming Dynasty,manchukuo,Manchukuo,contraction,3,,0,1,0,0,0,0,288
avar_khaganate,Avar Khaganate,western_xia,Western Xia (Tangut Empire),contraction,3,,0,1,0,0,0,0,234
gupta_empire,Gupta Empire,pala_empire,Pala Empire,contraction,3,,0,1,0,0,0,0,200
kara_khanid_khanate,Kara-Khanid Khanate,kazakh_khanate,Kazakh Khanate,contraction,3,,0,1,0,0,0,0,253
seljuk_empire,Seljuk Empire,kara_koyunlu,Kara Koyunlu (Black Sheep Turkmen),contraction,3,,0,1,0,0,0,0,180
seljuk_empire,Seljuk Empire,aq_qoyunlu,Aq Qoyunlu (White Sheep Turkmen),contraction,3,,0,1,0,0,0,0,184
ottoman_empire,Ottoman Empire,kara_koyunlu,Kara Koyunlu (Black Sheep Turkmen),contraction,3,,0,1,0,0,0,0,-548
timurid_empire,Timurid Empire,khanate_of_kokand,Khanate of Kokand,contraction,3,,0,1,0,0,0,0,202
goguryeo,Goguryeo,goryeo,Goryeo Dynasty,contraction,3,,0,1,0,0,0,0,250
mongol_empire,Mongol Empire,dzungar_khanate,Dzungar Khanate,contraction,3,,0,1,0,0,0,0,266
mongol_empire,Mongol Empire,khoshut_khanate,Khoshut Khanate,contraction,3,,0,1,0,0,0,0,274
chagatai_khanate,Chagatai Khanate,dzungar_khanate,Dzungar Khanate,contraction,3,,0,1,0,0,0,0,287
chagatai_khanate,Chagatai Khanate,khoshut_khanate,Khoshut Khanate,contraction,3,,0,1,0,0,0,0,295
umayyad_caliphate,Umayyad Caliphate,ikhshidid_dynasty,Ikhshidid Dynasty,contraction,3,,0,0,0,1,1,0,185
abbasid_caliphate,Abbasid Caliphate,hafsid_dynasty,Hafsid Dynasty,contraction,3,,0,0,0,1,0,0,-29
abbasid_caliphate,Abbasid Caliphate,marinid_dynasty,Marinid Dynasty,contraction,3,,0,0,0,1,0,0,-14
ghorid_dynasty,Ghorid Sultanate,malwa_sultanate,Malwa Sultanate,contraction,3,,0,0,0,1,1,0,177
ghorid_dynasty,Ghorid Sultanate,jaunpur_sultanate,Jaunpur Sultanate,contraction,3,,0,0,0,1,1,0,179
cao_wei,Cao Wei,eastern_wu,Eastern Wu,displacement,3,,0,0,0,1,0,0,-43
shu_han,Shu Han,eastern_wu,Eastern Wu,displacement,3,,0,0,0,1,0,0,-41
eastern_jin,Eastern Jin Dynasty,northern_dynasties,Northern Dynasties,displacement,3,,0,0,0,1,0,0,-34
vandal_kingdom,Vandal Kingdom of North Africa,carolingian_empire,Frankish Kingdom / Carolingian Empire,displacement,3,,0,0,0,1,0,0,-47
vandal_kingdom,Vandal Kingdom of North Africa,ostrogothic_kingdom,Ostrogothic Kingdom of Italy,displacement,3,,0,0,0,1,0,0,-40
vandal_kingdom,Vandal Kingdom of North Africa,lombard_kingdom,Kingdom of the Lombards,displacement,3,,0,0,0,1,0,0,35
chalukya_dynasty,Chalukya Dynasty (Badami),pratihara_dynasty,Pratihara Dynasty,displacement,3,,0,0,0,1,0,0,-27
pratihara_dynasty,Pratihara Dynasty,hoysala_dynasty,Hoysala Empire,displacement,3,,0,0,0,1,0,0,-30
rashidun_caliphate,Rashidun Caliphate,al_andalus,Al-Andalus,displacement,3,,0,0,0,1,0,0,50
al_andalus,Al-Andalus,funj_sultanate,Funj Sultanate,displacement,3,,0,0,0,1,0,0,12
